Translation Error (m),Rotation Error (rad)
0.0013093174202367663,0.05987345403886642
0.0007728931959718466,0.02311397392141716
0.003125387942418456,0.049020793102554555
0.0012348918244242668,0.022479642980675937
0.0015621969942003489,0.01909749271406977
0.003451396361924708,0.0930828025874916
0.0018820342374965549,0.11835179375314113
0.0006427715998142958,0.017214833955388587
0.0008913981728255749,0.05135848150001125
0.0045695260632783175,0.07741528220790707
0.004581247456371784,0.05652549127150456
0.0006677859928458929,0.009019643726612932
0.002863822504878044,0.05027738032715326
0.0019032475538551807,0.07359787092623406
0.001756410812959075,0.08096613907818673
0.0005706495139747858,0.04351076209920951
0.0003604837693274021,0.028080837118825905
0.0012436369433999062,0.04660216464859033
0.0008625645423308015,0.03720466231513643
0.0015913635725155473,0.037240081192294196
0.0019694213988259435,0.03909229468434784
0.0015889498172327876,0.013865897462152992
0.0004892831202596426,0.030522606379199877
0.0042989152716472745,0.07143705392541654
0.004752631182782352,0.04004455635222471
0.003277922049164772,0.03304314978879047
0.0019102913793176413,0.06601738381748036
0.004097523109521717,0.10257801105906092
0.0034661709214560688,0.06634446072948745
0.0012904081959277391,0.0409190066231808
0.0006923507899045944,0.0243143979621563
0.0023122134152799845,0.05443178459593507
0.001986368792131543,0.03583644696962701
0.002175081055611372,0.05349870659037818
0.0008940321858972311,0.029667232549499958
0.002125666243955493,0.014669204276741878
0.0037692125188186765,0.025956171498248443
0.0013010698603466153,0.05286048429192888
0.002497792476788163,0.04713943473395278
0.0038780117174610496,0.05488771548041351
0.0016340423608198762,0.02123853639713375
0.004079402657225728,0.06169411122104858
0.0025618441868573427,0.04484552316394349
0.0033849813044071198,0.07017032470030662
0.0010159863159060478,0.05641835839767085
0.001484718406572938,0.03783823509367323
0.0006857702974230051,0.03704251067447072
0.0012889876961708069,0.0708795522242293
0.0005769822746515274,0.027899293466618444
0.0012563299387693405,0.036824581398171914
0.0027278440538793802,0.0240470026315473
0.0029212890658527613,0.023019436462974593
0.003278648015111685,0.06981429440897198
0.000736720860004425,0.05452217542532563
0.0002955228555947542,0.03148746811232468
0.001050650724209845,0.023201705556477617
0.0006619109772145748,0.031192769099597364
0.004671010770834982,0.03939880277505588
0.003624913515523076,0.02259825207259682
0.0010367243085056543,0.053967079798941664
0.0011913178022950888,0.07055134291324845
0.0015221775975078344,0.0064868318468782795
0.0030459770932793617,0.05242599508618783
0.0011067944578826427,0.04461893564642783
0.0015200292691588402,0.017116423708839996
0.0016549292486160994,0.03792008033094666
0.002045117784291506,0.03688095041526525
0.003703416557982564,0.06510389087767221
0.002110662404447794,0.05575350942531221
0.0018627578392624855,0.016052931569585968
0.0010779928416013718,0.02867279617931047
0.003295888309367001,0.043909912440191774
0.0008184952894225717,0.028231880631556044
0.0036843294510617852,0.0216928457062966
0.0023906162241473794,0.03258745497008188
0.0023953448981046677,0.03546961598444467
0.0011082729324698448,0.037419224968813766
0.002105316612869501,0.028677538147405812
0.0021138594020158052,0.04321127050500521
0.0030287925619632006,0.04166226040938805
0.0010031620040535927,0.05955258277746531
0.002416007569991052,0.049262012955636425
0.0018886566394940019,0.024992931308093144
0.003602666431106627,0.034167983017072835
0.0007937337504699826,0.03343097441651834
0.0016513126902282238,0.011575273760083315
0.0017929911846295,0.046610710167159695
0.0026916750939562917,0.06048161751800856
0.0023359619081020355,0.032079048058192124
0.001772408140823245,0.038746194145622526
0.002183561446145177,0.05070252438647977
0.00319643912371248,0.02974725460084038
0.000325010041706264,0.06900116041782646
0.0042918159160763025,0.013618593588127307
0.0017509981989860535,0.00935471252549306
0.0019837559666484594,0.05019949155699914
0.0015947096981108189,0.04743602719319265
0.005488070659339428,0.034796038699257646
0.0015462215524166822,0.01706973704327324
0.0005734162405133247,0.035515444237143
0.0020304620265960693,0.03351110102456616
0.0024891493376344442,0.01980213247873943
0.0014710493851453066,0.040538864991370605
0.0012928436044603586,0.029357284030096156
0.0011586288455873728,0.02850104562655043
0.002433775458484888,0.035311157842838184
0.002510744147002697,0.02992929184176554
0.00275709037669003,0.030863981142863487
0.004425726714543998,0.06609059952831375
0.0014749205438420177,0.03447967000423388
0.0037184886168688536,0.018688438502324944
0.0038749580271542072,0.05343947212962315
0.0004857312887907028,0.05451550330978894
0.001401493325829506,0.041414206428658264
0.0022421289468184114,0.07919038610683289
0.0024468860356137156,0.10472582278510799
0.001074264058843255,0.05689141980925805
0.0029063003603368998,0.06432959558535815
0.0009445266332477331,0.016449129559466157
0.0035744663327932358,0.031184201024221675
0.002834236016497016,0.010890260371637293
0.0009904865873977542,0.0780768232880227
0.0010240707779303193,0.029605227576199364
0.0032648099586367607,0.059716748264178915
0.004238735185936093,0.013464683940110859
0.003377710934728384,0.02400851789592776
0.003021714510396123,0.05961120031463476
