Translation Error (m),Rotation Error (rad)
0.0031269261513987914,0.023387032089300677
0.0024092408589222996,0.013946790617399143
0.0025403542270159164,0.017499504948038508
0.0013461836178154142,0.007591890026200279
0.001253544322382361,0.009920418377850914
0.0014002229428916255,0.010236548032568822
0.003574776387631198,0.03431299941756241
0.004153281619950258,0.01946435443935306
0.0014656941694657557,0.015820110585145566
0.00030432876010746956,0.011484279963882913
0.0010561851596644963,0.007421075306240564
0.0014921039321732273,0.0056412956169129775
0.0022923483127008544,0.01489554458625879
0.0017532239247483612,0.009892193168602455
0.0005018836746698875,0.007493310146705109
0.0019919811702268416,0.01373035659690258
0.0007549437836971967,0.008623837650396595
0.0007635624350140775,0.012151220356312597
0.0010184220073393268,0.011436348052261317
0.001552435896104801,0.009065937288840264
0.0010897492831641216,0.0070073383069221215
0.003410940748880875,0.030171616996051292
0.0022524438823607554,0.01376490831517047
0.0019388183162867955,0.01622083683110505
0.0008751136624936037,0.013157678654058548
0.0025575167616939155,0.023498302887387513
0.001158804393941915,0.008187660214578868
0.0018726794865838083,0.015402236720850617
0.0004968402078492987,0.008187058690775897
0.0011617899688691775,0.012912906253577692
0.0006681103652843492,0.007284145976954014
0.0012240166700063695,0.01069273420158095
0.0015691980466795413,0.01486477476371509
0.0013279905001131794,0.008621169159818521
0.00128001175070162,0.006947467719922217
0.0008302853965902329,0.007709895020347134
0.0007629375739765798,0.008143075856032694
0.002931236565403889,0.022728028813567617
0.002298162654380315,0.009349291907829984
0.0016739210835003335,0.012612838038469937
0.00023908485098554123,0.0038759165775628743
0.001997841463806582,0.010797840598782358
0.0017102550801380654,0.019536838364752816
0.0021328892093317366,0.015656939685916874
0.0077857106985924456,0.061139003617139115
0.007710767632228473,0.05120741449711762
0.002641838590398392,0.009704814752979128
0.0008121918853896421,0.008758674917286585
0.0011385393956368315,0.004971639221830161
0.0005680844301915022,0.003959683928893853
0.0015029114185797412,0.010351955863891578
0.002621668482815769,0.02272850876874932
0.002839064658033479,0.005955886204880891
0.0027560253679916463,0.024461539192107758
0.004162108762570978,0.023027654547937978
0.0011530908424688228,0.010174043379204375
0.002215834203366884,0.014287549259225093
0.0010868924513651214,0.004534730184258226
0.0010039573313269483,0.01471051348283085
0.0017386278264055373,0.016637122335789723
0.0016136920905207262,0.009089786774271422
0.0010861077524984292,0.005930068749291967
0.0015487771249565515,0.011362166080404175
0.0026972049398242028,0.028504214497552763
0.0019543370946448237,0.015940796089868058
0.005038589236733573,0.03825713821030912
0.005687045745263497,0.029079862367017102
0.0013714351618657663,0.012157103194418952
0.0026605821825446702,0.01508180742563698
0.0007425284203643797,0.015761018637561196
0.0019213744756155227,0.020597726013621944
0.0009698570689561266,0.007079035622136884
0.0007053117981222594,0.004105245604650838
0.0034897631287903966,0.02115619290708727
0.001798192565929061,0.012839402659638165
0.0022352614812932436,0.01449778241962699
0.0013544379915267062,0.018292404329930567
0.001508613664742189,0.022797116887986614
0.0011671203031678595,0.0049793727925796765
0.0009372045533534209,0.00497749100678052
0.001263935061170918,0.012799631569768802
0.00254590443267271,0.021758062459101196
0.0017077219241243644,0.010333123571917057
0.00202006633232853,0.018755258900728138
0.00017225645951709882,0.010681227540683744
0.0035691838463710202,0.024305579007282887
0.0013815391695154826,0.006212239754182089
0.0008096625826709072,0.008898688738491794
0.0006559474237633842,0.008005143788254385
0.0007740157137231737,0.004798465328928532
0.0009407899462457181,0.007193716049472448
0.0013313136373483535,0.022061699184447617
0.0053927881510082275,0.033041275583770846
0.0032726259455006183,0.0159032784746805
0.0012031186706148635,0.009899878466207285
0.001453521223572481,0.00977926272498673
0.0009616979969206876,0.009237203464401798
0.0015599232276332468,0.0121559585864246
0.0019232970301484298,0.01595165566947186
0.001138562145824645,0.010371275799135288
0.003218029942335189,0.025474219472489464
0.002197786006341158,0.018662059912841984
0.004227573575527192,0.021066219218959528
0.001420163920510328,0.014936137900782692
0.0006807921327152463,0.008195138682724897
0.0015906854541693476,0.00816687194577749
0.0005721847172106779,0.006453879326543495
0.0009487268151871196,0.006145316770190223
0.0015414719285232435,0.008618945002235397
0.0013927191095185459,0.012687160327950671
0.0027421515901123045,0.026381034676637112
0.004152465086935557,0.017193592544641863
0.00025154652583939813,0.000988222354316461
0.0010565806307515115,0.006998725409218894
0.0022871459210505388,0.019276287608787322
0.001471275648492365,0.015947964259968313
0.0018630253190486234,0.007822949558660251
0.0044100341154181735,0.035005588061851514
0.00430880648382392,0.026157941011407507
0.00031355492735781615,0.003475657792894611
0.006474633864873255,0.0597055962413859
0.005903854985577297,0.0350218455476041
0.003150724165166763,0.02393602164657108
0.0008157141821551611,0.015197307901683681
0.0017570353729123942,0.010815203937792117
0.0012197627722326798,0.006225590660986935
0.000505307859657687,0.004828192990482396
0.0027453932364826083,0.015878659708555082
0.001494542964035877,0.017290154651170182
0.0025114427414252363,0.020712412060094942
0.001399816076570557,0.006454634730811057
0.0012096578121611728,0.015594401713187366
0.0007667256938719905,0.01234887213623151
0.0032767705549672666,0.03054323169638584
0.0010052220988673623,0.020940332855939773
0.001827057552313197,0.032465300657935896
0.00835292837285632,0.05710346530444862
0.00205566313664589,0.028613767689885623
0.0021682008325073342,0.008654555820078598
0.0031020722930053847,0.02045701154560653
0.0010107596317252675,0.013301808510801767
0.0009542324527668337,0.008363031044494389
0.000619032403566696,0.003349833437225873
0.0013252818648608142,0.007079227730677043
0.0012678228839799778,0.02261867926847325
0.001426186346832562,0.01613458866016975
0.0010478059472499909,0.0065031226473512395
0.0007238672232131038,0.002451387991608844
0.000306721403373884,0.003516644952331018
0.0009698888997954919,0.005629777788551477
0.0020012327045679616,0.016129682380379477
0.002132954314318444,0.01151252762342823
0.0007332120770345008,0.009285871043435524
0.0016286316802963923,0.011077042597024966
0.0021780053985960904,0.014869305131686696
0.0006321210430434761,0.007158112358360234
0.0023576981417811997,0.013566353266764952
0.0009728971387517882,0.006891299021740401
