Translation Error (m),Rotation Error (rad)
0.0028357291594147682,0.1088750537396357
0.0017241816967725754,0.03924093328914613
0.0006045186892151833,0.09540494761187995
0.0009880177676677704,0.03440520707254997
0.003786369226872921,0.02498791585626486
0.005049591884016991,0.013086060821112185
0.004014248959720135,0.05326851390615608
0.0021836115047335625,0.045803149343133474
0.001232638955116272,0.09189221021458505
0.002351011149585247,0.08008466395694114
0.0009645204991102219,0.028028292942524877
0.0013281237334012985,0.06742440629679641
0.0018649520352482796,0.0690464661661162
0.0017096279188990593,0.04742133245988822
0.0018630241975188255,0.10261826253080134
0.0029031578451395035,0.06670434190592268
0.0012792432680726051,0.026623012332340143
0.0007014619186520576,0.048088090246711304
0.0038124890998005867,0.11014549845578162
0.002552970312535763,0.0753274158598667
0.001406676135957241,0.08424733454278106
0.0020228689536452293,0.03979969917652648
0.001128590665757656,0.04260034529822322
0.0010265661403536797,0.03986089700547564
0.0017151972278952599,0.09091325678261832
0.002290874719619751,0.07884737923219333
0.0026253052055835724,0.05433903013446593
0.0006080400198698044,0.03539626330335302
0.0010712472721934319,0.017885364292246554
0.0007541589438915253,0.03293278073821522
0.0023270929232239723,0.031702414755915634
0.002917197532951832,0.06098969980944834
0.0014091972261667252,0.04688286550420697
0.002980787307024002,0.04815754573959201
0.0023969020694494247,0.09041297262867987
0.002198302187025547,0.05266857642866396
0.0015759505331516266,0.05781711857607439
0.0035621952265501022,0.10094355695102811
0.007721148431301117,0.12743435246207124
0.0011065443977713585,0.04102495073074566
0.0020974986255168915,0.013378894167436243
0.0037737335078418255,0.1475649952247524
0.002458814065903425,0.06433104386579698
0.0030593834817409515,0.1482990840595068
0.0017399871721863747,0.026876155353130062
0.000367823988199234,0.01799209013664671
0.0012808265164494514,0.05579586618061853
0.003946379758417606,0.06897959380995276
0.0021666008979082108,0.03210719776652565
0.0003915783017873764,0.029066045363666828
0.0013806549832224846,0.04387731730573944
0.0030855154618620872,0.08745809232868716
0.004780714400112629,0.08695586218092388
0.0020612720400094986,0.036423327199243766
0.001183084212243557,0.022566337907023608
0.0022314777597784996,0.03315437516441176
0.0014015622437000275,0.015865601272893957
0.0008430089801549911,0.011049055328599922
0.0020871562883257866,0.021847266307091523
0.00042596179991960526,0.011552039737778992
0.0021112244576215744,0.012664867642594283
0.0037698913365602493,0.04771660628704646
0.0015071453526616096,0.03796806781328364
0.0016828365623950958,0.04216293184337171
0.002409466542303562,0.05783773914485512
0.0007300097495317459,0.05941662786616056
0.0026173582300543785,0.12039930095553565
0.0012147361412644386,0.04304036434525137
0.00047324225306510925,0.02770484797721428
0.0011935783550143242,0.03959172584365037
0.0038518644869327545,0.05749597214214111
0.002198348753154278,0.07503082111054533
0.002206171862781048,0.038067811858830736
0.0006778500974178314,0.07366673942112734
0.002913675270974636,0.06674330910400551
0.0017386237159371376,0.06060449199543868
0.0020216545090079308,0.06948457426211817
0.002678849268704653,0.09431304498310532
0.0022463020868599415,0.0771901510129418
0.004783308133482933,0.18492965274783557
0.002021515741944313,0.06852647004520038
0.0050521353259682655,0.06439743111616648
0.004779367707669735,0.07706535358308732
0.0008802963420748711,0.0632837927345381
0.0011247918009757996,0.06748246900370673
0.0007205940783023834,0.02609205327048491
0.0017264429479837418,0.10503513802612151
0.004014432430267334,0.04426802451090417
0.003138483501970768,0.03596299062928377
0.0010293228551745415,0.0724105589826252
0.0018637971952557564,0.07129888063654082
0.0021438291296362877,0.0625039940230355
0.002570127137005329,0.06389673496952951
0.0028895577415823936,0.044846796378750775
0.0030817994847893715,0.049753854614252115
0.003836214542388916,0.07142692482259135
0.00230287853628397,0.013489101790307998
0.00243846932426095,0.10573638199228658
0.004102073144167662,0.11688832425708753
0.0020455969497561455,0.06478099278558516
0.0016216421499848366,0.040688835372851374
0.002381938509643078,0.023351226513198993
0.003882201388478279,0.0535092090494385
0.0008925460278987885,0.08757178113697253
0.0009232573211193085,0.06141671286406523
0.0004935506731271744,0.06187467256008903
0.003197908401489258,0.05776612333441995
0.00452383141964674,0.06008579114101963
0.0012237047776579857,0.03180414099270441
0.0015948982909321785,0.055292562708304745
0.0025955215096473694,0.04564597995363402
0.0009935209527611732,0.034879264185623024
0.002504815347492695,0.09067264401029579
0.0027556512504816055,0.022010440226305803
0.0004432098940014839,0.06962961671914282
0.001636614091694355,0.06039686668867676
0.0010593729093670845,0.036091678482776376
0.0020322436466813087,0.04575031537774968
0.0036446014419198036,0.06969021762750988
0.0025336407124996185,0.0611163001046596
0.00347057543694973,0.06833020935446922
0.0046233367174863815,0.0953131914764718
0.0018515083938837051,0.07014095692011343
0.0019877487793564796,0.04685030502614512
0.002208408899605274,0.05516936603769416
0.0019630976021289825,0.07731207144411595
0.0017479462549090385,0.016228165675422585
0.002049689181149006,0.10083760683678446
0.0005506323650479317,0.022663300019103345
0.0013548387214541435,0.03733830825305454
0.0010529467836022377,0.03901636649122481
0.0017653349786996841,0.04239619632190119
0.0018053408712148666,0.06945133862428203
0.0006653126329183578,0.09481506768553995
0.0011709518730640411,0.06388043518011735
0.0026992904022336006,0.07471372043472951
0.002254451159387827,0.10540205516683271
0.004888929892331362,0.10214171241894866
0.004776838235557079,0.06695447525449802
0.0035499650985002518,0.033865179594148045
0.0025944747030735016,0.12788564455720078
0.0025501828640699387,0.13240071603325532
0.0026463093236088753,0.07368060035992086
0.0024474235251545906,0.05592062334414329
0.0038209091871976852,0.061341280097088946
0.0022639743983745575,0.08232901621444316
0.0037413109093904495,0.04813540717083886
0.003538343124091625,0.028590325483006405
0.0037123383954167366,0.0320900956135091
0.0016436027362942696,0.02504893137044846
0.0011744378134608269,0.037348966011508784
0.0008411994203925133,0.06352615503061695
0.002443644218146801,0.09327942578900113
0.003912357613444328,0.09637068206529065
0.0003968803212046623,0.0605296260394656
0.003351321443915367,0.055905543132948994
0.0018124952912330627,0.05561901933221905
0.001704549416899681,0.020628314461887898
0.0018816394731402397,0.057686588891172876
0.0005496195517480373,0.020241730937371014
0.0011598500423133373,0.03318659683477349
0.0016413507983088493,0.019580987303692336
0.002356989309191704,0.09688500973826197
0.0048070200718939304,0.07737375463488932
0.005280999932438135,0.12909370964047032
0.001501583494246006,0.06787856929017112
0.0020981440320611,0.03924595657827875
0.0015611089766025543,0.055169647745253056
0.001999352127313614,0.06258489512302552
0.0014092857018113136,0.09893724707457774
0.0013022031635046005,0.10153473665307178
0.0015963967889547348,0.012969562858808004
0.0043808165937662125,0.12889855605471479
0.0025800196453928947,0.05571572241838896
0.0011257100850343704,0.07255783351933226
0.0015259049832820892,0.03216664178181156
0.0023361537605524063,0.06290091267176995
0.002908834256231785,0.08221753441357234
0.0031173406168818474,0.05301399881748203
0.001561957411468029,0.054157464700465785
7.469020783901215e-05,0.0456996276740514
0.0014862334355711937,0.01988271585309898
0.0006849635392427444,0.023260596653691967
0.004155496135354042,0.02314635993422746
0.0035519301891326904,0.04403753638505435
0.004066036082804203,0.09549473343771749
0.0023241378366947174,0.02847784128759269
0.0029079345986247063,0.064696773314067
0.003356238827109337,0.026388235873314486
0.0026246849447488785,0.08636532618144603
0.001650441437959671,0.09217970583717444
0.0030726762488484383,0.07688089383210625
0.0009733475744724274,0.03541063177353193
0.001077001914381981,0.030797567172366425
0.0009894492104649544,0.04917403578053178
0.0006468258798122406,0.024421823141975805
0.001473081298172474,0.04551162689550182
0.004023285582661629,0.04781429515095775
0.00434387382119894,0.07673961480080456
0.002524223178625107,0.06236683721618778
